Dye,Rxn Time (min),Removal %,Full_Name,SMILES,Labute_ASA,LogP,HBD,HBA,Aromatic_Rings,Rotatable_Bonds,Fraction_Csp3
Am,25,0.862063732,Amaranth,C1=CC=C2C(=C1)C(=CC=C2S(=O)(=O)[O-])N=NC3=C4C=CC(=CC4=CC(=C3O)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],283.219,-6.162,1,12,4,5,0.0
CV,0,0.0,Crystal Violet,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-],180.936,1.464,0,2,2,4,0.24
CV,5,0.371693183,Crystal Violet,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-],180.936,1.464,0,2,2,4,0.24
CV,10,0.557108494,Crystal Violet,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-],180.936,1.464,0,2,2,4,0.24
CV,15,0.681318565,Crystal Violet,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-],180.936,1.464,0,2,2,4,0.24
CV,20,0.766301034,Crystal Violet,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-],180.936,1.464,0,2,2,4,0.24
CV,25,0.824473116,Crystal Violet,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-],180.936,1.464,0,2,2,4,0.24
MaG,0,0.0,Malachite Green,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=CC=C3.[Cl-],162.446,1.398,0,1,2,3,0.174
MaG,5,0.168677181,Malachite Green,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=CC=C3.[Cl-],162.446,1.398,0,1,2,3,0.174
MaG,10,0.288639904,Malachite Green,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=CC=C3.[Cl-],162.446,1.398,0,1,2,3,0.174
MaG,15,0.370085843,Malachite Green,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=CC=C3.[Cl-],162.446,1.398,0,1,2,3,0.174
MaG,20,0.450592706,Malachite Green,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=CC=C3.[Cl-],162.446,1.398,0,1,2,3,0.174
MaG,25,0.528626247,Malachite Green,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=CC=C3.[Cl-],162.446,1.398,0,1,2,3,0.174
Ab,0,0.0,Amido Black 10B,C1=CC=C(C=C1)N=NC2=C(C3=C(C(=C(C=C3C=C2S(=O)(=O)[O-])S(=O)(=O)[O-])N=NC4=CC=C(C=C4)[N+](=O)[O-])N)O.[Na+].[Na+],275.992,-1.317,2,14,4,7,0.0
Ab,5,0.332154493,Amido Black 10B,C1=CC=C(C=C1)N=NC2=C(C3=C(C(=C(C=C3C=C2S(=O)(=O)[O-])S(=O)(=O)[O-])N=NC4=CC=C(C=C4)[N+](=O)[O-])N)O.[Na+].[Na+],275.992,-1.317,2,14,4,7,0.0
Ab,10,0.479211203,Amido Black 10B,C1=CC=C(C=C1)N=NC2=C(C3=C(C(=C(C=C3C=C2S(=O)(=O)[O-])S(=O)(=O)[O-])N=NC4=CC=C(C=C4)[N+](=O)[O-])N)O.[Na+].[Na+],275.992,-1.317,2,14,4,7,0.0
Ab,15,0.600004762,Amido Black 10B,C1=CC=C(C=C1)N=NC2=C(C3=C(C(=C(C=C3C=C2S(=O)(=O)[O-])S(=O)(=O)[O-])N=NC4=CC=C(C=C4)[N+](=O)[O-])N)O.[Na+].[Na+],275.992,-1.317,2,14,4,7,0.0
Ab,20,0.69161015,Amido Black 10B,C1=CC=C(C=C1)N=NC2=C(C3=C(C(=C(C=C3C=C2S(=O)(=O)[O-])S(=O)(=O)[O-])N=NC4=CC=C(C=C4)[N+](=O)[O-])N)O.[Na+].[Na+],275.992,-1.317,2,14,4,7,0.0
Ab,25,0.761984872,Amido Black 10B,C1=CC=C(C=C1)N=NC2=C(C3=C(C(=C(C=C3C=C2S(=O)(=O)[O-])S(=O)(=O)[O-])N=NC4=CC=C(C=C4)[N+](=O)[O-])N)O.[Na+].[Na+],275.992,-1.317,2,14,4,7,0.0
PonS,0,0.0,Ponceau S,C1=CC(=CC=C1N=NC2=CC(=C(C=C2)N=NC3=C4C=CC(=CC4=CC(=C3O)S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+],356.083,-8.991,1,17,4,8,0.0
PonS,5,0.298213914,Ponceau S,C1=CC(=CC=C1N=NC2=CC(=C(C=C2)N=NC3=C4C=CC(=CC4=CC(=C3O)S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+],356.083,-8.991,1,17,4,8,0.0
PonS,10,0.466826225,Ponceau S,C1=CC(=CC=C1N=NC2=CC(=C(C=C2)N=NC3=C4C=CC(=CC4=CC(=C3O)S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+],356.083,-8.991,1,17,4,8,0.0
PonS,15,0.585410005,Ponceau S,C1=CC(=CC=C1N=NC2=CC(=C(C=C2)N=NC3=C4C=CC(=CC4=CC(=C3O)S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+],356.083,-8.991,1,17,4,8,0.0
PonS,20,0.693713895,Ponceau S,C1=CC(=CC=C1N=NC2=CC(=C(C=C2)N=NC3=C4C=CC(=CC4=CC(=C3O)S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+],356.083,-8.991,1,17,4,8,0.0
PonS,25,0.779057698,Ponceau S,C1=CC(=CC=C1N=NC2=CC(=C(C=C2)N=NC3=C4C=CC(=CC4=CC(=C3O)S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+],356.083,-8.991,1,17,4,8,0.0
BBR,0,0.0,Coomassie Brilliant Blue R-250,CCN(CC1=CC(=CC=C1)S(=O)(=O)[O-])C2=CC=C(C=C2)C(=C3C=CC(=[N+](CC)CC4=CC(=CC=C4)S(=O)(=O)[O-])C=C3)C5=CC=C(C=C5)NC6=CC=C(C=C6)OCC.[Na+],363.258,5.269,1,9,5,15,0.178
